Lfd. Nr.;AHB;"Beschreibung des Anwendungsfalls aus dem AHB (EDIFACT)
API-Webservice (API)";Prüfidentifikator;Reaktion auf Prüfidentifikator;Prozessbeschreibung;"Prozessschritt aus 
Kapitel";Bezeichnung aus Sequenzdiagramm;Prozessschritt aus Sequenzdiagramm;Aktion;Kommunikation von;Kommunikation an;Zuordnung zu einem Objekt;Zuordnung zu einem Geschäftsvorfall;Erweiterte Zuordnung;Objekteigenschaft;Sparte Strom;"Sparte 
Gas";Übertragungsweg;Fußnote;Meilenstein;"Kommunikation von : 
Auslösende Events";"Kommunikation von: 
Lesende Schnittstellen";"Kommunikation von: 
Schreibende Schnittstellen";"Kommunikation an: 
Lesende Schnittstellen";"Kommunikation an: 
Schreibende Schnittstellen"
157;UTILMD AHB Gas;Bestätigung Kündigung;44017;--;GeLi Gas;Kap. B 1.3 Nr. 3b;;;Bestätigung der Kündigung;LFA;LFN;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
225;UTILMD AHB Gas;Informationsmeldung zur Aufhebung einer zuk. Zuordnung;44038;--;GeLi Gas;Kap. B 2.4 Konfliktsze. 2;;;--;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
165;UTILMD AHB Gas;Abmeldung NN;44004;--;GeLi Gas;Kap. B 2.6 Nr. 1;;;Übermittlung Abmeldung;LF;NB;ZO-T1;--;--;--;--;X;AS4;;3;START_LIEFERENDE;"LESEN_MARKTLOKATION_BASIS
LESEN_NETZNUTZUNGSVERTRAG_BASIS";;;
167;UTILMD AHB Gas;Ablehnung Abmeldung;44006;--;GeLi Gas;Kap. B 2.6 Nr. 3a;;;Ablehnung der Abmeldung;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
168;UTILMD AHB Gas;Bestätigung Abmeldung;44005;--;GeLi Gas;Kap. B 2.6 Nr. 3b;;;Bestätigung der Abmeldung;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
169;UTILMD AHB Gas;Bestandsliste zugeordnete Marktlokationen;44019;--;GeLi Gas;Kap. B 2.6 Nr. 6;;;Übermittlung der Bestandsliste durch NB;NB;LFA;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
170;UTILMD AHB Gas;Anmeldung NN;44001;--;GeLi Gas;Kap. B 3.3 Nr. 1;;;Anmeldung;LF;NB;--;--;--;--;--;X;AS4;;3;;;;;
178;UTILMD AHB Gas;Informationsmeldung über existierende Zuordnung;44036;--;GeLi Gas;Kap. B 3.3 Nr. 3a;;;Information über existierende Zuordnung;NB;LFN;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
180;UTILMD AHB Gas;Abmeldungsanfrage des NB;44010;--;GeLi Gas;Kap. B 3.3 Nr. 3b;;;Abmeldungsanfrage;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
183;UTILMD AHB Gas;Bestätigung Abmeldungsanfrage;44011;--;GeLi Gas;Kap. B 3.3 Nr. 3d;;;Beantwortung der Abmeldungsanfrage;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
184;UTILMD AHB Gas;Ablehnung Abmeldungsanfrage;44012;--;GeLi Gas;Kap. B 3.3 Nr. 3d;;;Beantwortung der Abmeldungsanfrage;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
185;UTILMD AHB Gas;Informationsmeldung zur Beendigung der Zuordnung;44037;--;GeLi Gas;Kap. B 3.3 Nr. 3g;;;Mitteilung über Beendigung der Zuordnung;NB;LFA;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
187;UTILMD AHB Gas;Ablehnung Anmeldung;44003;--;GeLi Gas;Kap. B 3.3 Nr. 4a;;;Ablehnung der Anmeldung;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
188;UTILMD AHB Gas;Bestätigung Anmeldung;44002;--;GeLi Gas;Kap. B 3.3 Nr. 4b;;;Bestätigung der Anmeldung;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
189;UTILMD AHB Gas;Bestandsliste zugeordnete Marktlokationen;44019;--;GeLi Gas;Kap. B 3.3 Nr. 6;;;Übermittlung der Bestandsliste durch NB;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
238;UTILMD AHB Gas;Anmeldung EoG;44013;--;GeLi Gas;Kap. C 2.3 Nr. 2;;;Meldung der Marktlokation durch den Netzbetreiber NB an den E/G, wenn sich Marktlokation im Niederdruck befindet. Anmeldung;NB;E/G;--;--;--;--;--;X;AS4;;3;;;;;
240;UTILMD AHB Gas;Bestätigung EoG Anmeldung;44014;--;GeLi Gas;Kap. C 2.3 Nr. 4a;;;Meldung des E/G, ob und ggf. für welchen Zeitraum die Marktlokation der Ersatzversorgung oder Grundversorgung zuzuordnen ist.;E/G;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
243;UTILMD AHB Gas;Ablehnung EoG Anmeldung;44015;--;GeLi Gas;Kap. C 2.3 Nr. 4b;;;Meldung des E/G, ob und ggf. für welchen Zeitraum die Marktlokation ihm nicht zuzuordnen ist.;E/G;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
247;UTILMD AHB Gas;Bestandsliste zugeordnete Marktlokationen;44019;--;GeLi Gas;Kap. C 2.3 Nr. 6;;;Übermittlung der Bestandsliste durch NB;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
297;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 1.1.1;;;--;LF;NB;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
334;MSCONS AHB;Lastgang (Gas) ;13008;--;GeLi Gas;Kap. D 1.2.4 Nr. 11;;;Messwertübermittlung;NB;LF;"ZO-T14
und
ZO-T21";--;--;--;--;X;AS4;;3;START_LASTGANG;LESEN_ENERGIEMENGE_LASTGANG;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_LASTGANG
335;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 1.2.4 Nr. 11;;;Messwertübermittlung;NB;LF;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
336;MSCONS AHB;Energiemenge (Gas);13009;--;GeLi Gas;Kap. D 1.2.4 Nr. 11;;;Messwertübermittlung;NB;LF;ZO-T14;--;--;--;--;X;AS4;;3;START_ENERGIEMENGE;LESEN_ENERGIEMENGE_ENERGIEMENGE;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ENERGIEMENGE
337;MSCONS AHB;Lastgang (Gas) ;13008;--;GeLi Gas;Kap. D 1.2.4 Nr. 7;;;Messwertübermittlung;MSB;NB;"ZO-T14
und
ZO-T21";--;--;--;--;X;AS4;;3;START_LASTGANG;LESEN_ENERGIEMENGE_LASTGANG;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_LASTGANG
338;MSCONS AHB;Energiemenge (Gas);13009;--;GeLi Gas;Kap. D 1.2.4 Nr. 7;;;Messwertübermittlung;MSB;NB;ZO-T14;--;--;--;--;X;AS4;;3;START_ENERGIEMENGE;LESEN_ENERGIEMENGE_ENERGIEMENGE;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ENERGIEMENGE
339;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 1.2.4 Nr. 7;;;Messwertübermittlung;MSB;NB;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
891;MSCONS AHB;Gasbeschaffenheit;13007;--;GeLi Gas;Kap. D 1.2.4 Nr. 7;;;Messwertübermittlung;MSB;NB;ZO-T14;--;--;--;--;X;AS4;;3;;;;;
340;MSCONS AHB;Lastgang (Gas) ;13008;--;GeLi Gas;Kap. D 1.2.4 Nr. 9;;;Übermittlung Ersatzwerte;NB;MSB;"ZO-T14
und
ZO-T21";--;--;--;--;X;AS4;;3;START_LASTGANG;LESEN_ENERGIEMENGE_LASTGANG;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_LASTGANG
341;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 1.2.4 Nr. 9;;;Übermittlung Ersatzwerte;NB;MSB;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
342;MSCONS AHB;Energiemenge (Gas);13009;--;GeLi Gas;Kap. D 1.2.4 Nr. 9;;;Übermittlung Ersatzwerte;NB;MSB;ZO-T14;--;--;--;--;X;AS4;;3;START_ENERGIEMENGE;LESEN_ENERGIEMENGE_ENERGIEMENGE;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ENERGIEMENGE
343;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Anfrage Brennwert / Zustandszahl;17103;--;GeLi Gas;Kap. D 1.3 Nr. 1;;;Anfrage zur Übermittlung von Abrechnungsbrennwert und Zustandszahl für eine in der Vergangenheit liegende Zeitspanne;LF;NB;ZO-T15;--;--;--;--;X;AS4;;3;;;;;
344;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung der Anfrage Brennwert / Zustandszahl;19103;--;GeLi Gas;Kap. D 1.3 Nr. 2;;;Übermittlung von Abrechnungsbrennwert und Zustandszahl;NB;LF;--;ZG-T14;--;--;--;X;AS4;;3;;;;;
402;MSCONS AHB;Lastgang (Gas) ;13008;--;GeLi Gas;Kap. D 2.2 Nr. 2;;;Antwort;NB;LF;--;ZG-T42;--;--;--;X;AS4;;3;START_LASTGANG;LESEN_ENERGIEMENGE_LASTGANG;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_LASTGANG
403;MSCONS AHB;Energiemenge (Gas);13009;--;GeLi Gas;Kap. D 2.2 Nr. 2;;;Antwort;NB;LF;--;ZG-T42;--;--;--;X;AS4;;3;START_ENERGIEMENGE;LESEN_ENERGIEMENGE_ENERGIEMENGE;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ENERGIEMENGE
404;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 2.2 Nr. 2;;;Antwort;NB;LF;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
409;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44112;--;GeLi Gas;Kap. D 2.2.1 Nr. 1;;;Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
410;UTILMD AHB Gas;Bila.rel. Änderung vom NB mit Abhängigkeiten ;44123;--;GeLi Gas;Kap. D 2.2.1 Nr. 1;;;Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
413;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44113;--;GeLi Gas;Kap. D 2.2.1 Nr. 2;;;Änderung vom NB an MSB;NB;MSB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
415;UTILMD AHB Gas;Änderung der Marktlokationsstruktur;44175;--;GeLi Gas;Kap. D 2.2.1 Nr. 2;;;Änderung vom NB an MSB;NB;MSB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
416;UTILMD AHB Gas;Antwort auf Änderung vom NB;44115;--;GeLi Gas;Kap. D 2.2.1 Nr. 3;;;Antwort auf Änderung vom NB an LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
417;UTILMD AHB Gas;Antwort auf Änderung vom NB;44124;--;GeLi Gas;Kap. D 2.2.1 Nr. 3;;;Antwort auf Änderung vom NB an LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
420;UTILMD AHB Gas;Antwort auf Änderung vom NB;44115;--;GeLi Gas;Kap. D 2.2.1 Nr. 4;;;Antwort auf Änderung vom NB an MSB;MSB;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
422;UTILMD AHB Gas;"Antwort auf Änderung der 
Marktlokationsstruktur";44176;--;GeLi Gas;Kap. D 2.2.1 Nr. 4;;;Antwort auf Änderung vom Netzbetreiber an MSB;MSB;NB [Verteiler];--;ZG-T1;--;--;--;X;AS4;;3;;;;;
423;UTILMD AHB Gas;Nicht bila.rel Änderung vom LF ;44109;--;GeLi Gas;Kap. D 2.2.2 Nr. 1;;;Änderung vom LF;LF;NB [Verteiler];ZO-T1;--;--;--;--;X;AS4;;3;;;;;
424;UTILMD AHB Gas;Bila.rel. Änderung vom LF;44120;--;GeLi Gas;Kap. D 2.2.2 Nr. 1;;;Änderung vom LF;LF;NB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
426;UTILMD AHB Gas;Antwort auf Änderung vom LF;44111;--;GeLi Gas;Kap. D 2.2.2 Nr. 3;;;Antwort auf Änderung vom LF;NB [Verteiler];LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
427;UTILMD AHB Gas;Antwort auf Änderung vom LF;44121;--;GeLi Gas;Kap. D 2.2.2 Nr. 3;;;Antwort auf Änderung vom LF;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
428;UTILMD AHB Gas;Antwort auf Änderung vom LF;44111;--;GeLi Gas;Kap. D 2.2.2 Nr. 4;;;Antwort auf Änderung vom LF;MSB;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
429;UTILMD AHB Gas;Änderung vom MSB mit Abhängigkeiten;44116;--;GeLi Gas;Kap. D 2.2.3 Nr. 1;;;Änderung vom MSB;MSB;NB [Verteiler];ZO-T1;--;--;--;--;X;AS4;;3;;;;;
430;UTILMD AHB Gas;Änderung vom MSB ohne Abhängigkeiten;44159;--;GeLi Gas;Kap. D 2.2.3 Nr. 1;;;Änderung vom MSB;MSB;NB [Verteiler];ZO-T1;--;--;--;--;X;AS4;;3;;;;;
431;UTILMD AHB Gas;Änderung vom MSB mit Abhängigkeiten;44117;--;GeLi Gas;Kap. D 2.2.3 Nr. 2;;;Änderung vom MSB (Weiterleitung an LF);NB [Verteiler];LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
432;UTILMD AHB Gas;Änderung vom MSB ohne Abhängigkeiten;44160;--;GeLi Gas;Kap. D 2.2.3 Nr. 2;;;Änderung vom MSB (Weiterleitung an LF);NB [Verteiler];LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
434;UTILMD AHB Gas;Antwort auf Änderung vom MSB;44119;--;GeLi Gas;Kap. D 2.2.3 Nr. 4;;;Antwort auf Änderung vom MSB;NB [Verteiler];MSB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
435;UTILMD AHB Gas;Antwort auf Änderung;44161;--;GeLi Gas;Kap. D 2.2.3 Nr. 4;;;Antwort auf Änderung vom MSB;NB [Verteiler];MSB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
436;UTILMD AHB Gas;Antwort auf Änderung vom MSB;44119;--;GeLi Gas;Kap. D 2.2.3 Nr. 5;;;Antwort auf Änderung vom MSB;LF;NB [Verteiler];--;ZG-T1;--;--;--;X;AS4;;3;;;;;
437;UTILMD AHB Gas;Antwort auf Änderung;44161;--;GeLi Gas;Kap. D 2.2.3 Nr. 5;;;Antwort auf Änderung vom MSB;LF;NB [Verteiler];--;ZG-T1;--;--;--;X;AS4;;3;;;;;
440;MSCONS AHB;Lastgang (Gas) ;13008;--;GeLi Gas;Kap. D 2.3 Nr. 2;;;Antwort;NB;MSB;--;ZG-T42;--;--;--;X;AS4;;3;START_LASTGANG;LESEN_ENERGIEMENGE_LASTGANG;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_LASTGANG
441;MSCONS AHB;Zählerstand (Gas);13002;--;GeLi Gas;Kap. D 2.3 Nr. 2;;;Antwort;NB;MSB;--;--;EZ-02;--;--;X;AS4;;3;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
445;UTILMD AHB Gas;Nicht bila.rel. Anfrage an NB;44139;--;GeLi Gas;Kap. D 2.3.1 Nr. 1;;;Anfrage an NB von LF;LF;NB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
447;UTILMD AHB Gas;Bila.rel. Anfrage an NB mit Abhängigkeiten;44156;--;GeLi Gas;Kap. D 2.3.1 Nr. 1;;;Anfrage an NB von LF;LF;NB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
448;UTILMD AHB Gas;Antwort auf Anfrage;44142;--;GeLi Gas;Kap. D 2.3.1 Nr. 2;;;Antwort auf Anfrage an NB von LF;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
451;UTILMD AHB Gas;Antwort auf Anfrage;44157;--;GeLi Gas;Kap. D 2.3.1 Nr. 2;;;Antwort auf Anfrage an NB von LF;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
452;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44113;--;GeLi Gas;Kap. D 2.3.1 Nr. 3;;;Ggf. Änderung vom NB an MSB;NB;MSB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
453;UTILMD AHB Gas;Bila.rel. Änderung vom NB mit Abhängigkeiten ;44123;--;GeLi Gas;Kap. D 2.3.1 Nr. 4;;;Ggf. Änderung vom NB an weitere LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
454;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44112;--;GeLi Gas;Kap. D 2.3.1 Nr. 4;;;Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
456;UTILMD AHB Gas;Antwort auf Änderung vom NB;44115;--;GeLi Gas;Kap. D 2.3.1 Nr. 5;;;Antwort auf Änderung vom NB an MSB;MSB;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
457;UTILMD AHB Gas;Antwort auf Änderung vom NB;44124;--;GeLi Gas;Kap. D 2.3.1 Nr. 6;;;Antwort auf Änderung vom NB an weitere LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
458;UTILMD AHB Gas;Antwort auf Änderung vom NB;44115;--;GeLi Gas;Kap. D 2.3.1 Nr. 6;;;Antwort auf Änderung vom NB an LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
460;UTILMD AHB Gas;Anfrage der Marktlokationsstruktur;44180;--;GeLi Gas;Kap. D 2.3.2 Nr. 1;;;Anfrage an NB von MSB;LF;NB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
463;UTILMD AHB Gas;Nicht bila.rel. Anfrage an NB;44140;--;GeLi Gas;Kap. D 2.3.2 Nr. 1;;;Anfrage an NB von MSB;MSB;NB;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
461;UTILMD AHB Gas;"Antwort auf Anfrage der 
Marktlokationsstruktur";44181;--;GeLi Gas;Kap. D 2.3.2 Nr. 2;;;Antwort auf Anfrage an NB von MSB;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
462;UTILMD AHB Gas;"Ablehnung der Anfrage der 
Marktlokationsstruktur";44182;--;GeLi Gas;Kap. D 2.3.2 Nr. 2;;;Antwort auf Anfrage an NB von MSB;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
465;UTILMD AHB Gas;Antwort auf Anfrage;44142;--;GeLi Gas;Kap. D 2.3.2 Nr. 2;;;Antwort auf Anfrage an NB von MSB;NB;MSB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
468;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44112;--;GeLi Gas;Kap. D 2.3.2 Nr. 3;;;Ggf. Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
469;UTILMD AHB Gas;Nicht bila.rel. Änderung vom NB;44112;--;GeLi Gas;Kap. D 2.3.2 Nr. 3;;;Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
470;UTILMD AHB Gas;Bila.rel. Änderung vom NB mit Abhängigkeiten ;44123;--;GeLi Gas;Kap. D 2.3.2 Nr. 3;;;Änderung vom NB an LF;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
472;UTILMD AHB Gas;Antwort auf Änderung vom NB;44115;--;GeLi Gas;Kap. D 2.3.2 Nr. 4;;;Antwort auf Änderung vom NB an LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
474;UTILMD AHB Gas;Antwort auf Änderung vom NB;44124;--;GeLi Gas;Kap. D 2.3.2 Nr. 4;;;Antwort auf Änderung vom NB an LF;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
476;UTILMD AHB Gas;Bila.-rel. Anfrage an LF;44150;--;GeLi Gas;Kap. D 2.3.3 Nr. 1;;;Anfrage an LF von NB;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
477;UTILMD AHB Gas;Nicht Bila. rel. Anfrage an LF;44137;--;GeLi Gas;Kap. D 2.3.3 Nr. 1;;;Anfrage an Lieferanten von Netzbetreiber;NB [Berechtigter];LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
478;UTILMD AHB Gas;Antwort auf Anfrage;44151;--;GeLi Gas;Kap. D 2.3.3 Nr. 2;;;Antwort auf Anfrage an LF von NB;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
479;UTILMD AHB Gas;Ablehnung der Anfrage;44152;--;GeLi Gas;Kap. D 2.3.3 Nr. 2;;;Antwort auf Anfrage an LF von NB;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
480;UTILMD AHB Gas;Antwort auf Anfrage;44138;--;GeLi Gas;Kap. D 2.3.3 Nr. 2;;;Antwort auf Anfrage an Lieferanten von Netzbetreiber;LF;NB [Berechtigter];--;ZG-T1;--;--;--;X;AS4;;3;;;;;
